Species,LSTM Precision,LSTM Recall,ORFfinder Precision,ORFfinder Recall
Escherichia coli,0.9889479543265017,0.9672574736225088,0.280562117590043,0.9900263774912075
Vibrio cholerae,0.9818020816066584,0.9667338432569135,0.2966060945762021,0.9882561232063335
Pseudomonas aeruginosa,0.9067946395665232,0.933096788353208,0.2292537477835722,0.9986686275944279
Streptococcus pneumoniae,0.9831450588179927,0.9566719527811464,0.32915337515375714,0.9821470670545035
Enterococcus faecalis,0.9903207629044498,0.9797235641848073,0.35496859309540457,0.9901120331063781
Helicobacter pylori,0.9687602695951436,0.9477905309313834,0.39086911310615263,0.9712728585320438
Bacillus subtilis,0.9954480253092428,0.9752321731666548,0.3007535377194525,0.9946240375865607
Clostridioides difficile,0.9963218038975614,0.986791345362739,0.42223431676540163,0.9923922865162247
Porphyromonas gingivalis,0.9868013084028158,0.95268362955306,0.2624282971475108,0.9949497291612751
Staphylococcus aureus,0.9851962532818652,0.9764535419525282,0.3761105263616566,0.9943399414282496
Mycobacterium tuberculosis,0.9552136074103456,0.9336018681387178,0.23808090531470708,0.9921028266848291
Salmonella enterica,0.9739988932781389,0.9509502526598237,0.2813792807681527,0.9839138573268671
Streptomyces coelicolor,0.8665200877500225,0.8579523274027824,0.23539488351118187,0.9914023104764217
Klebsiella pneumoniae,0.9836664514892999,0.9705269912897534,0.2682344467598681,0.9976558365996507
Acinetobacter baumannii,0.9809800525048205,0.9622052813828262,0.35047602779750614,0.982661108642979
